ds,all_day_bing_tiles_visited_relative_change
2020-03-01,-0.07249222222222222
2020-03-02,-0.03771833333333333
2020-03-03,-0.01976666666666667
2020-03-04,0.006114444444444444
2020-03-05,-0.014141111111111111
2020-03-06,-0.03526833333333333
2020-03-07,-0.02673944444444444
2020-03-08,-0.04643722222222222
2020-03-09,-0.003997222222222222
2020-03-10,0.01642388888888889
2020-03-11,0.0008061111111111109
2020-03-12,-0.042237222222222225
2020-03-13,-0.12404055555555556
2020-03-14,-0.30356777777777777
2020-03-15,-0.5808766666666667
2020-03-16,-0.5115666666666666
2020-03-17,-0.534668888888889
2020-03-18,-0.5430694444444444
2020-03-19,-0.6171122222222222
2020-03-20,-0.5995833333333334
2020-03-21,-0.669505
2020-03-22,-0.7404683333333334
2020-03-23,-0.5961533333333333
2020-03-24,-0.6022827777777777
2020-03-25,-0.6016594444444444
2020-03-26,-0.6074544444444444
2020-03-27,-0.6158794444444444
2020-03-28,-0.6793450000000001
2020-03-29,-0.7419077777777778
2020-03-30,-0.6508033333333334
2020-03-31,-0.6602783333333333
2020-04-01,-0.6577211111111111
2020-04-02,-0.657665
2020-04-03,-0.6550938888888889
2020-04-04,-0.6832144444444445
2020-04-05,-0.7486644444444445
2020-04-06,-0.6449755555555555
2020-04-07,-0.6311488888888889
2020-04-08,-0.62152
2020-04-09,-0.7239961111111111
2020-04-10,-0.7781366666666667
2020-04-11,-0.67952
2020-04-12,-0.7487988888888889
2020-04-13,-0.6714894444444445
2020-04-14,-0.5820394444444444
2020-04-15,-0.5892277777777778
2020-04-16,-0.5886827777777778
2020-04-17,-0.5952577777777778
2020-04-18,-0.6539838888888889
2020-04-19,-0.7383922222222222
2020-04-20,-0.5839388888888889
2020-04-21,-0.5742133333333334
2020-04-22,-0.5741144444444444
2020-04-23,-0.5897011111111111
2020-04-24,-0.5818644444444444
2020-04-25,-0.6465716666666667
2020-04-26,-0.7092538888888889
2020-04-27,-0.5568344444444445
2020-04-28,-0.5442761111111111
2020-04-29,-0.5371611111111112
2020-04-30,-0.5226394444444444
2020-05-01,-0.7105788888888889
2020-05-02,-0.5494650000000001
2020-05-03,-0.5531044444444445
2020-05-04,-0.4043638888888889
2020-05-05,-0.40279666666666664
2020-05-06,-0.3927411111111111
2020-05-07,-0.39768111111111115
2020-05-08,-0.42181111111111114
2020-05-09,-0.470915
2020-05-10,-0.5902444444444445
2020-05-11,-0.335405
2020-05-12,-0.3327427777777778
2020-05-13,-0.34147500000000003
2020-05-14,-0.3591538888888889
2020-05-15,-0.37112277777777775
2020-05-16,-0.37847277777777777
2020-05-17,-0.42762500000000003
2020-05-18,-0.2594855555555556
2020-05-19,-0.25468944444444447
2020-05-20,-0.25848333333333334
2020-05-21,-0.26517222222222225
2020-05-22,-0.2757988888888889
2020-05-23,-0.3021111111111111
2020-05-24,-0.36791722222222223
2020-05-25,-0.20608555555555555
2020-05-26,-0.19620722222222223
2020-05-27,-0.19099999999999998
2020-05-28,-0.1940738888888889
2020-05-29,-0.20527
2020-05-30,-0.18962222222222222
2020-05-31,-0.2821438888888889
2020-06-01,-0.19044
2020-06-02,-0.15844222222222223
2020-06-03,-0.1677438888888889
2020-06-04,-0.1942788888888889
2020-06-05,-0.1913072222222222
2020-06-06,-0.17197
2020-06-07,-0.29790444444444447
2020-06-08,-0.17126166666666667
2020-06-09,-0.1607888888888889
2020-06-10,-0.13515444444444447
2020-06-11,-0.17768444444444442
2020-06-12,-0.18938611111111112
2020-06-13,-0.1644077777777778
2020-06-14,-0.20431333333333332
2020-06-15,-0.12810611111111112
2020-06-16,-0.13480777777777778
2020-06-17,-0.12905944444444445
2020-06-18,-0.12490833333333333
2020-06-19,-0.1356738888888889
2020-06-20,-0.10939444444444445
2020-06-21,-0.14227277777777778
2020-06-22,-0.0720438888888889
2020-06-23,-0.06666444444444444
2020-06-24,-0.11353777777777779
2020-06-25,-0.08990111111111111
2020-06-26,-0.09570666666666666
2020-06-27,-0.069985
2020-06-28,-0.12075055555555554
2020-06-29,-0.06400222222222222
2020-06-30,-0.053921111111111114
2020-07-01,-0.058327222222222225
2020-07-02,-0.06881888888888889
2020-07-03,-0.06387055555555556
2020-07-04,-0.03209666666666666
2020-07-05,-0.0839561111111111
2020-07-06,-0.039773333333333334
2020-07-07,-0.050486111111111114
2020-07-08,-0.043207777777777776
2020-07-09,-0.05600722222222222
2020-07-10,-0.07132055555555555
2020-07-11,-0.049333888888888885
2020-07-12,-0.10335555555555556
2020-07-13,-0.04434333333333333
2020-07-14,-0.04685111111111111
2020-07-15,-0.051201111111111114
2020-07-16,-0.05581222222222223
2020-07-17,-0.07520944444444444
2020-07-18,-0.05140222222222222
2020-07-19,-0.10135444444444444
2020-07-20,-0.04628111111111111
2020-07-21,-0.060423333333333336
2020-07-22,-0.06718
2020-07-23,-0.06121833333333334
2020-07-24,-0.07574722222222223
2020-07-25,-0.05908833333333333
2020-07-26,-0.10709166666666667
2020-07-27,-0.050250555555555555
2020-07-28,-0.07516666666666666
2020-07-29,-0.06281666666666667
2020-07-30,-0.05687222222222223
2020-07-31,-0.09366166666666667
2020-08-01,-0.05016
2020-08-02,-0.12100277777777776
2020-08-03,-0.04414388888888889
2020-08-04,-0.05093611111111111
2020-08-05,-0.04942166666666667
2020-08-06,-0.051526666666666665
2020-08-07,-0.07779333333333333
2020-08-08,-0.053637222222222225
2020-08-09,-0.10398944444444444
2020-08-10,-0.05107333333333333
2020-08-11,-0.07678555555555555
2020-08-12,-0.09327444444444445
2020-08-13,-0.07769444444444445
2020-08-14,-0.08436722222222222
2020-08-15,-0.09543499999999999
2020-08-16,-0.10920611111111111
2020-08-17,-0.063305
2020-08-18,-0.08369
2020-08-19,-0.08353833333333333
2020-08-20,-0.08483166666666667
2020-08-21,-0.10791
2020-08-22,-0.08275333333333333
2020-08-23,-0.1138988888888889
2020-08-24,-0.08151333333333334
2020-08-25,-0.08044000000000001
2020-08-26,-0.0900838888888889
2020-08-27,-0.09382722222222223
2020-08-28,-0.11724444444444443
2020-08-29,-0.12220055555555555
2020-08-30,-0.17531
2020-08-31,-0.07519444444444444
2020-09-01,-0.06264666666666667
2020-09-02,-0.07668166666666668
2020-09-03,-0.07309444444444445
2020-09-04,-0.085025
2020-09-05,-0.07090722222222222
2020-09-06,-0.14200944444444444
2020-09-07,-0.06982055555555555
2020-09-08,-0.09350944444444445
2020-09-09,-0.06129055555555555
2020-09-10,-0.07536
2020-09-11,-0.10090111111111111
2020-09-12,-0.09565444444444444
2020-09-13,-0.14158833333333332
2020-09-14,-0.06405166666666667
2020-09-15,-0.08661333333333333
2020-09-16,-0.07459166666666667
2020-09-17,-0.09703
2020-09-18,-0.12842722222222222
2020-09-19,-0.15439277777777777
2020-09-20,-0.20028777777777776
2020-09-21,-0.10072944444444444
2020-09-22,-0.08314166666666667
2020-09-23,-0.09100444444444444
2020-09-24,-0.10591666666666666
2020-09-25,-0.129715
2020-09-26,-0.16353222222222222
2020-09-27,-0.22700555555555557
2020-09-28,-0.08554
2020-09-29,-0.07420222222222222
2020-09-30,-0.06555722222222221
2020-10-01,-0.08131388888888888
2020-10-02,-0.13254555555555556
2020-10-03,-0.16723222222222223
2020-10-04,-0.2588827777777778
2020-10-05,-0.0900488888888889
2020-10-06,-0.07273222222222223
2020-10-07,-0.08146722222222222
2020-10-08,-0.07138
2020-10-09,-0.09009111111111111
2020-10-10,-0.11009888888888889
2020-10-11,-0.2086438888888889
2020-10-12,-0.29553277777777776
2020-10-13,-0.07968777777777777
2020-10-14,-0.10095000000000001
2020-10-15,-0.10035722222222222
2020-10-16,-0.10226944444444445
2020-10-17,-0.14032777777777777
2020-10-18,-0.21034333333333333
2020-10-19,-0.10322999999999999
2020-10-20,-0.12685333333333335
2020-10-21,-0.12202333333333332
2020-10-22,-0.12945722222222222
2020-10-23,-0.13178
2020-10-24,-0.17209666666666668
2020-10-25,-0.2948411111111111
2020-10-26,-0.13982444444444445
2020-10-27,-0.12471888888888889
2020-10-28,-0.11889833333333333
2020-10-29,-0.10209833333333335
2020-10-30,-0.13470277777777778
2020-10-31,-0.2027138888888889
2020-11-01,-0.30417055555555556
2020-11-02,-0.24289166666666664
2020-11-03,-0.13766555555555557
2020-11-04,-0.15232055555555554
2020-11-05,-0.1627127777777778
2020-11-06,-0.1811061111111111
2020-11-07,-0.27132
2020-11-08,-0.33941166666666667
2020-11-09,-0.16652888888888887
2020-11-10,-0.1348827777777778
2020-11-11,-0.14296055555555556
2020-11-12,-0.14205944444444443
2020-11-13,-0.1621911111111111
2020-11-14,-0.24862555555555554
2020-11-15,-0.3584994444444444
2020-11-16,-0.153605
2020-11-17,-0.1276911111111111
2020-11-18,-0.13037055555555555
2020-11-19,-0.14666277777777778
2020-11-20,-0.15563944444444444
2020-11-21,-0.21919333333333332
2020-11-22,-0.3115322222222222
2020-11-23,-0.14438555555555554
2020-11-24,-0.12426944444444445
2020-11-25,-0.13436166666666666
2020-11-26,-0.14346333333333333
2020-11-27,-0.15969944444444445
2020-11-28,-0.2120138888888889
2020-11-29,-0.30527944444444444
2020-11-30,-0.12505444444444447
2020-12-01,-0.10150611111111112
2020-12-02,-0.1111511111111111
2020-12-03,-0.11668777777777778
2020-12-04,-0.14909333333333333
2020-12-05,-0.22681
2020-12-06,-0.353
2020-12-07,-0.3162755555555556
2020-12-08,-0.42240555555555553
2020-12-09,-0.10822722222222222
2020-12-10,-0.12230277777777777
2020-12-11,-0.14582777777777778
2020-12-12,-0.18365555555555557
2020-12-13,-0.2556511111111111
2020-12-14,-0.10528444444444444
2020-12-15,-0.07886444444444445
2020-12-16,-0.09327777777777778
2020-12-17,-0.08259722222222222
2020-12-18,-0.10019166666666666
2020-12-19,-0.16533222222222224
2020-12-20,-0.2489811111111111
2020-12-21,-0.07888777777777778
2020-12-22,-0.07571055555555556
2020-12-23,-0.07589888888888889
2020-12-24,-0.22399666666666665
2020-12-25,-0.5320827777777777
2020-12-26,-0.26905999999999997
2020-12-27,-0.30582444444444445
2020-12-28,-0.20465166666666665
2020-12-29,-0.17475555555555555
2020-12-30,-0.138125
2020-12-31,-0.24837777777777775
2021-01-01,-0.5552433333333333
2021-01-02,-0.2616722222222222
2021-01-03,-0.30497277777777776
2021-01-04,-0.1621461111111111
2021-01-05,-0.13398055555555555
2021-01-06,-0.4078311111111111
2021-01-07,-0.2185822222222222
2021-01-08,-0.24847833333333336
2021-01-09,-0.36090555555555554
2021-01-10,-0.42509111111111114
2021-01-11,-0.19761333333333334
2021-01-12,-0.16670277777777776
2021-01-13,-0.16158055555555556
2021-01-14,-0.17416555555555557
2021-01-15,-0.18960666666666665
2021-01-16,-0.24134999999999998
2021-01-17,-0.3661155555555556
2021-01-18,-0.1583527777777778
2021-01-19,-0.14964444444444444
2021-01-20,-0.1924788888888889
2021-01-21,-0.17527
2021-01-22,-0.2259422222222222
2021-01-23,-0.3206405555555556
2021-01-24,-0.40518
2021-01-25,-0.20303444444444443
2021-01-26,-0.16630111111111112
2021-01-27,-0.16794666666666666
2021-01-28,-0.15639666666666666
2021-01-29,-0.17982666666666666
2021-01-30,-0.2959894444444444
2021-01-31,-0.40337944444444446
2021-02-01,-0.1627177777777778
2021-02-02,-0.14821277777777778
2021-02-03,-0.1426788888888889
2021-02-04,-0.15736944444444445
2021-02-05,-0.1839988888888889
2021-02-06,-0.3068683333333333
2021-02-07,-0.3810444444444444
2021-02-08,-0.1694738888888889
2021-02-09,-0.16681666666666667
2021-02-10,-0.1578277777777778
2021-02-11,-0.1432988888888889
2021-02-12,-0.16437222222222223
2021-02-13,-0.21028666666666665
2021-02-14,-0.29522444444444446
2021-02-15,-0.15251944444444446
2021-02-16,-0.14960666666666667
2021-02-17,-0.11984222222222221
2021-02-18,-0.12529666666666667
2021-02-19,-0.13550777777777778
2021-02-20,-0.21149277777777778
2021-02-21,-0.3747288888888889
2021-02-22,-0.15481111111111112
2021-02-23,-0.11026055555555556
2021-02-24,-0.11311555555555557
2021-02-25,-0.12295944444444445
2021-02-26,-0.12963000000000002
2021-02-27,-0.15989944444444446
2021-02-28,-0.2639638888888889
2021-03-01,-0.144485
2021-03-02,-0.10465444444444444
2021-03-03,-0.08696055555555555
2021-03-04,-0.09116333333333333
2021-03-05,-0.1198961111111111
2021-03-06,-0.16380944444444445
2021-03-07,-0.3001405555555555
2021-03-08,-0.12713222222222223
2021-03-09,-0.09991
2021-03-10,-0.08263388888888888
2021-03-11,-0.09479333333333334
2021-03-12,-0.10480166666666667
2021-03-13,-0.12412555555555554
2021-03-14,-0.23523222222222223
2021-03-15,-0.08747333333333333
2021-03-16,-0.07879777777777779
2021-03-17,-0.08132333333333333
2021-03-18,-0.08744555555555555
2021-03-19,-0.2383016666666667
2021-03-20,-0.20546555555555554
2021-03-21,-0.2491833333333333
2021-03-22,-0.09734
2021-03-23,-0.06699666666666666
2021-03-24,-0.06749444444444444
2021-03-25,-0.06124333333333333
2021-03-26,-0.0968138888888889
2021-03-27,-0.11514611111111112
2021-03-28,-0.20112777777777777
2021-03-29,-0.09195833333333334
2021-03-30,-0.07729777777777777
2021-03-31,-0.05010277777777778
2021-04-01,-0.21477222222222223
2021-04-02,-0.3332772222222222
2021-04-03,-0.14183277777777778
2021-04-04,-0.18938
2021-04-05,-0.1503972222222222
2021-04-06,-0.07018333333333333
2021-04-07,-0.08018722222222223
2021-04-08,-0.08326777777777777
2021-04-09,-0.12977833333333333
2021-04-10,-0.18041222222222222
2021-04-11,-0.28919833333333334
2021-04-12,-0.0919761111111111
2021-04-13,-0.07862722222222222
2021-04-14,-0.08270722222222222
2021-04-15,-0.10655777777777778
2021-04-16,-0.11121
2021-04-17,-0.1571216666666667
2021-04-18,-0.2170088888888889
2021-04-19,-0.08129277777777778
2021-04-20,-0.08162444444444444
2021-04-21,-0.08858388888888889
2021-04-22,-0.10268000000000001
2021-04-23,-0.11918388888888888
2021-04-24,-0.15034666666666668
2021-04-25,-0.27815944444444446
2021-04-26,-0.10459555555555555
2021-04-27,-0.09562944444444445
2021-04-28,-0.09165666666666666
2021-04-29,-0.09316611111111112
2021-04-30,-0.08345888888888889
2021-05-01,-0.21099222222222222
2021-05-02,-0.18135055555555557
2021-05-03,-0.08812722222222222
2021-05-04,-0.05011111111111111
2021-05-05,-0.05315055555555556
2021-05-06,-0.05543277777777778
2021-05-07,-0.06858
2021-05-08,-0.08787222222222221
2021-05-09,-0.21529444444444445
2021-05-10,-0.06983277777777779
2021-05-11,-0.050430555555555555
2021-05-12,-0.05092166666666667
2021-05-13,-0.06530611111111112
2021-05-14,-0.056716666666666665
2021-05-15,-0.079605
2021-05-16,-0.15712722222222222
2021-05-17,-0.04224666666666667
2021-05-18,-0.043222222222222224
2021-05-19,-0.038468888888888886
2021-05-20,-0.03449777777777777
2021-05-21,-0.054922222222222226
2021-05-22,-0.08522444444444445
2021-05-23,-0.1663027777777778
2021-05-24,-0.06014555555555555
2021-05-25,-0.025728888888888888
2021-05-26,-0.02846111111111111
2021-05-27,-0.041062777777777774
2021-05-28,-0.04301222222222222
2021-05-29,-0.04776722222222222
2021-05-30,-0.10563555555555555
2021-05-31,-0.022630555555555557
2021-06-01,-0.03458055555555555
2021-06-02,-0.02337277777777778
2021-06-03,-0.04061888888888889
2021-06-04,-0.049577777777777776
2021-06-05,-0.05928277777777778
2021-06-06,-0.10426277777777777
2021-06-07,-0.013587222222222221
2021-06-08,-0.01749444444444444
2021-06-09,-0.031392222222222224
2021-06-10,-0.021078333333333334
2021-06-11,-0.04348055555555555
2021-06-12,-0.05234
2021-06-13,-0.09676333333333334
2021-06-14,-0.027729444444444442
2021-06-15,-0.025728333333333336
2021-06-16,-0.03409111111111111
2021-06-17,-0.06362944444444445
2021-06-18,-0.07307999999999999
2021-06-19,-0.0957911111111111
2021-06-20,-0.16604777777777777
2021-06-21,-0.04180111111111111
2021-06-22,-0.04958277777777778
2021-06-23,-0.05967666666666666
2021-06-24,-0.07287
2021-06-25,-0.04387611111111111
2021-06-26,-0.04223444444444444
2021-06-27,-0.10696
2021-06-28,-0.043894999999999997
2021-06-29,-0.04482111111111111
2021-06-30,-0.025820555555555555
2021-07-01,-0.02419388888888889
2021-07-02,-0.06483222222222222
2021-07-03,-0.05048
2021-07-04,-0.09022111111111111
2021-07-05,-0.011374444444444446
2021-07-06,-0.031209444444444442
2021-07-07,-0.06165444444444444
2021-07-08,-0.04321388888888889
2021-07-09,-0.05327333333333333
2021-07-10,-0.043653888888888895
2021-07-11,-0.08726055555555555
2021-07-12,-0.04465277777777778
2021-07-13,-0.05140666666666667
2021-07-14,-0.04467611111111111
2021-07-15,-0.044720555555555555
2021-07-16,-0.05966944444444444
2021-07-17,-0.04295777777777778
2021-07-18,-0.08823611111111111
2021-07-19,-0.027330555555555556
2021-07-20,-0.04407111111111111
2021-07-21,-0.06053222222222222
2021-07-22,-0.09196
2021-07-23,-0.16565611111111112
2021-07-24,-0.20485166666666665
2021-07-25,-0.2659161111111111
2021-07-26,-0.2217111111111111
2021-07-27,-0.23251777777777777
2021-07-28,-0.24590666666666663
2021-07-29,-0.22396388888888888
2021-07-30,-0.16760111111111112
2021-07-31,-0.10045
2021-08-01,-0.12809166666666666
2021-08-02,-0.05209833333333333
2021-08-03,-0.060048333333333336
2021-08-04,-0.06929166666666667
2021-08-05,-0.06666111111111112
2021-08-06,-0.07885611111111111
2021-08-07,-0.05213222222222222
2021-08-08,-0.08150388888888889
2021-08-09,-0.03442833333333333
2021-08-10,-0.04446555555555556
2021-08-11,-0.052472222222222226
2021-08-12,-0.07102722222222221
2021-08-13,-0.08231166666666667
2021-08-14,-0.042646111111111114
2021-08-15,-0.08603944444444445
2021-08-16,-0.08356
2021-08-17,-0.04824
2021-08-18,-0.06082722222222222
2021-08-19,-0.07247722222222222
2021-08-20,-0.09360611111111111
2021-08-21,-0.05508
2021-08-22,-0.09198444444444445
2021-08-23,-0.055606666666666665
2021-08-24,-0.06812277777777778
2021-08-25,-0.06438888888888888
2021-08-26,-0.06959944444444445
2021-08-27,-0.09146666666666667
2021-08-28,-0.055911666666666665
2021-08-29,-0.0962738888888889
2021-08-30,-0.057838888888888884
2021-08-31,-0.06072388888888888
2021-09-01,-0.05784
2021-09-02,-0.08612555555555555
2021-09-03,-0.08168666666666666
2021-09-04,-0.044256111111111114
2021-09-05,-0.08262277777777777
2021-09-06,-0.027052777777777776
2021-09-07,-0.041479444444444444
2021-09-08,-0.0725438888888889
2021-09-09,-0.04982333333333333
2021-09-10,-0.06343333333333334
2021-09-11,-0.055913888888888895
2021-09-12,-0.09248666666666666
2021-09-13,-0.025345555555555555
2021-09-14,-0.05966166666666666
2021-09-15,-0.06302611111111112
2021-09-16,-0.05319666666666666
2021-09-17,-0.05777611111111111
2021-09-18,-0.07749388888888889
2021-09-19,-0.10714444444444444
2021-09-20,-0.04558277777777778
2021-09-21,-0.06473222222222222
2021-09-22,-0.060051111111111104
2021-09-23,-0.06351555555555556
2021-09-24,-0.07917777777777778
2021-09-25,-0.09177222222222221
2021-09-26,-0.12235611111111111
2021-09-27,-0.04351888888888889
2021-09-28,-0.043180555555555555
2021-09-29,-0.051733888888888885
2021-09-30,-0.04118555555555556
2021-10-01,-0.050908888888888885
2021-10-02,-0.06062166666666666
2021-10-03,-0.16485611111111112
2021-10-04,-0.056497222222222226
2021-10-05,-0.03912111111111111
2021-10-06,-0.027784444444444445
2021-10-07,-0.03347722222222222
2021-10-08,-0.04254166666666667
2021-10-09,-0.05650166666666666
2021-10-10,-0.09713055555555555
2021-10-11,-0.06268944444444444
2021-10-12,-0.2025427777777778
2021-10-13,-0.025850555555555557
2021-10-14,-0.044748333333333334
2021-10-15,-0.060387222222222224
2021-10-16,-0.07956888888888888
2021-10-17,-0.14680888888888888
2021-10-18,-0.05220277777777778
2021-10-19,-0.04126611111111111
2021-10-20,-0.04766555555555556
2021-10-21,-0.05329444444444445
2021-10-22,-0.07456055555555556
2021-10-23,-0.08056222222222223
2021-10-24,-0.1395761111111111
2021-10-25,-0.052505555555555555
2021-10-26,-0.04210611111111111
2021-10-27,-0.04161444444444445
2021-10-28,-0.03911666666666667
2021-10-29,-0.056454444444444446
2021-10-30,-0.08637777777777778
2021-10-31,-0.15889944444444443
2021-11-01,-0.2511994444444444
2021-11-02,-0.056808333333333336
2021-11-03,-0.07623722222222222
2021-11-04,-0.07827444444444445
2021-11-05,-0.08299166666666666
2021-11-06,-0.09696666666666667
2021-11-07,-0.18199333333333334
2021-11-08,-0.07488944444444444
2021-11-09,-0.06996
2021-11-10,-0.0662011111111111
2021-11-11,-0.07241666666666666
2021-11-12,-0.08506333333333332
2021-11-13,-0.08952166666666667
2021-11-14,-0.17013833333333334
2021-11-15,-0.5454516666666667
2021-11-16,-0.16234055555555557
2021-11-17,-0.4660666666666667
2021-11-18,-0.08130222222222222
2021-11-19,-0.09087444444444444
2021-11-20,-0.12094944444444446
2021-11-21,-0.20930055555555555
2021-11-22,-0.10656777777777778
2021-11-23,-0.17726333333333333
2021-11-24,-0.20533555555555555
2021-11-25,-0.08951277777777777
2021-11-26,-0.08352833333333334
2021-11-27,-0.135375
2021-11-28,-0.25150500000000003
2021-11-29,-0.10426
2021-11-30,-0.1594788888888889
2021-12-01,-0.48999722222222225
2021-12-02,-0.21463
2021-12-03,-0.3035622222222222
2021-12-04,-0.3114072222222222
2021-12-05,-0.3052461111111111
2021-12-06,-0.4702316666666666
2021-12-07,-0.11482777777777778
2021-12-08,-0.3206522222222222
2021-12-09,-0.10530833333333334
2021-12-10,-0.11435111111111113
2021-12-11,-0.12160666666666667
2021-12-12,-0.16321388888888888
2021-12-13,-0.07286166666666666
2021-12-14,-0.06207666666666667
2021-12-15,-0.06108555555555555
2021-12-16,-0.06762666666666667
2021-12-17,-0.08182166666666667
2021-12-18,-0.09065
2021-12-19,-0.18052444444444443
2021-12-20,-0.08383388888888889
2021-12-21,-0.0673011111111111
2021-12-22,-0.0794861111111111
2021-12-23,-0.07874611111111111
2021-12-24,-0.2429111111111111
2021-12-25,-0.4261638888888889
2021-12-26,-0.28817166666666666
2021-12-27,-0.1655127777777778
2021-12-28,-0.14746055555555557
2021-12-29,-0.13727111111111112
2021-12-30,-0.12368722222222223
2021-12-31,-0.2563683333333333
2022-01-01,-0.40456277777777777
2022-01-02,-0.21541833333333335
2022-01-03,-0.13903055555555555
2022-01-04,-0.14415944444444445
2022-01-05,-0.151005
2022-01-06,-0.40556000000000003
2022-01-07,-0.2477411111111111
2022-01-08,-0.21418944444444443
2022-01-09,-0.31675055555555554
2022-01-10,-0.1704561111111111
2022-01-11,-0.15836499999999998
2022-01-12,-0.15415166666666666
2022-01-13,-0.16520333333333334
2022-01-14,-0.183875
2022-01-15,-0.20316555555555554
2022-01-16,-0.27373555555555557
2022-01-17,-0.16215888888888888
2022-01-18,-0.14629999999999999
2022-01-19,-0.14650666666666667
2022-01-20,-0.16951666666666665
2022-01-21,-0.1824
2022-01-22,-0.22780333333333333
2022-01-23,-0.3139338888888889
2022-01-24,-0.21095833333333333
2022-01-25,-0.20432277777777777
2022-01-26,-0.2087488888888889
2022-01-27,-0.25590833333333335
2022-01-28,-0.25153333333333333
2022-01-29,-0.2547772222222222
2022-01-30,-0.3150705555555555
2022-01-31,-0.2458927777777778
2022-02-01,-0.21879388888888887
2022-02-02,-0.2136311111111111
2022-02-03,-0.21137277777777777
2022-02-04,-0.2269
2022-02-05,-0.23785222222222224
2022-02-06,-0.29662499999999997
2022-02-07,-0.21327833333333335
2022-02-08,-0.19874777777777777
2022-02-09,-0.20064166666666666
2022-02-10,-0.20244222222222222
2022-02-11,-0.21867555555555557
2022-02-12,-0.22492944444444443
2022-02-13,-0.29079
2022-02-14,-0.2188938888888889
2022-02-15,-0.2008588888888889
2022-02-16,-0.20622055555555555
2022-02-17,-0.20054166666666667
2022-02-18,-0.21415388888888887
2022-02-19,-0.24175
2022-02-20,-0.28679055555555555
2022-02-21,-0.20737055555555556
2022-02-22,-0.18390277777777778
2022-02-23,-0.1893
2022-02-24,-0.19558444444444445
2022-02-25,-0.21443833333333334
2022-02-26,-0.23241944444444446
2022-02-27,-0.2698466666666667
2022-02-28,-0.20228388888888887
2022-03-01,-0.20241499999999998
2022-03-02,-0.19244611111111112
2022-03-03,-0.20847166666666667
2022-03-04,-0.22350277777777774
2022-03-05,-0.22104000000000001
2022-03-06,-0.3024044444444444
2022-03-07,-0.21722666666666665
2022-03-08,-0.1992538888888889
2022-03-09,-0.20144333333333334
2022-03-10,-0.20355833333333334
2022-03-11,-0.2207438888888889
2022-03-12,-0.23759888888888886
2022-03-13,-0.3000588888888889
2022-03-14,-0.264895
2022-03-15,-0.24404777777777775
2022-03-16,-0.25137611111111113
2022-03-17,-0.26202888888888887
2022-03-18,-0.24643
2022-03-19,-0.24355333333333334
2022-03-20,-0.30334555555555553
2022-03-21,-0.25379555555555555
2022-03-22,-0.24291722222222223
2022-03-23,-0.24736499999999997
2022-03-24,-0.24536277777777776
2022-03-25,-0.24959777777777775
2022-03-26,-0.25150222222222224
2022-03-27,-0.2938938888888889
2022-03-28,-0.22222666666666666
2022-03-29,-0.21943944444444444
2022-03-30,-0.22563333333333332
2022-03-31,-0.22217222222222222
2022-04-01,-0.2264188888888889
2022-04-02,-0.2376177777777778
2022-04-03,-0.31005055555555555
2022-04-04,-0.23120277777777776
2022-04-05,-0.22026444444444446
2022-04-06,-0.19114833333333334
2022-04-07,-0.18265333333333333
2022-04-08,-0.20641444444444446
2022-04-09,-0.20233722222222222
2022-04-10,-0.23770555555555553
2022-04-11,-0.2007861111111111
2022-04-12,-0.2086738888888889
2022-04-13,-0.17793444444444445
2022-04-14,-0.2639738888888889
2022-04-15,-0.3467561111111111
2022-04-16,-0.18748777777777778
2022-04-17,-0.20064055555555557
2022-04-18,-0.24186555555555556
2022-04-19,-0.19542
2022-04-20,-0.22829388888888888
2022-04-21,-0.21755444444444447
2022-04-22,-0.22749000000000003
2022-04-23,-0.2840772222222222
2022-04-24,-0.2859527777777778
2022-04-25,-0.18227333333333334
2022-04-26,-0.18206555555555556
2022-04-27,-0.20790055555555556
2022-04-28,-0.21526888888888887
2022-04-29,-0.21080500000000002
2022-04-30,-0.18129277777777777
2022-05-01,-0.1983272222222222
2022-05-02,-0.24946944444444444
2022-05-03,-0.19226722222222223
2022-05-04,-0.1827022222222222
2022-05-05,-0.17748722222222224
2022-05-06,-0.18180166666666667
2022-05-07,-0.17684833333333333
2022-05-08,-0.2128172222222222
2022-05-09,-0.16373000000000001
2022-05-10,-0.15680833333333333
2022-05-11,-0.16982333333333333
2022-05-12,-0.17799777777777778
2022-05-13,-0.19004944444444444
2022-05-14,-0.1917677777777778
2022-05-15,-0.23281222222222223
2022-05-16,-0.17830333333333334
2022-05-17,-0.1713061111111111
2022-05-18,-0.16784444444444444
2022-05-19,-0.1722677777777778
2022-05-20,-0.18629333333333334
2022-05-21,-0.19250444444444445
2022-05-22,-0.24526833333333334
